time,value
1991-07-01,155197.4232
1991-10-01,142264.069
1992-01-01,151484.9782
1992-04-01,150781.844
1992-07-01,147812.7617
1992-10-01,143007.0387
1993-01-01,140325.5897
1993-04-01,140579.4464
1993-07-01,139764.1195
1993-10-01,140305.0137
1994-01-01,141096.8202
1994-04-01,140345.6431
1994-07-01,141587.5156
1994-10-01,142044.986
1995-01-01,141715.4067
1995-04-01,138908.0313
1995-07-01,139529.4203
1995-10-01,136678.1449
1996-01-01,131733.2946
1996-04-01,127827.0765
1996-07-01,124633.8739
1996-10-01,121838.4334
1997-01-01,118723.6662
1997-04-01,115633.6214
1997-07-01,112137.9046
1997-10-01,110857.9809
1998-01-01,109038.6337
1998-04-01,107250.4098
1998-07-01,105878.6927
1998-10-01,103988.5975
1999-01-01,103809.2185
1999-04-01,104385.7598
1999-07-01,104138.2347
1999-10-01,105331.3017
2000-01-01,106335.7706
2000-04-01,104560.5269
2000-07-01,105848.1757
2000-10-01,106492.6353
2001-01-01,106881.6121
2001-04-01,107630.2383
2001-07-01,107722.1432
2001-10-01,106093.8525
2002-01-01,106442.5823
2002-04-01,106283.6719
2002-07-01,106487.428
2002-10-01,106321.9502
2003-01-01,105751.1831
2003-04-01,105741.5167
2003-07-01,104955.5545
2003-10-01,105728.646
2004-01-01,105333.3423
2004-04-01,103314.6193
2004-07-01,104850.3931
2004-10-01,104551.2143
2005-01-01,103630.6184
2005-04-01,104839.0506
2005-07-01,105466.6523
2005-10-01,105403.0378
2006-01-01,105212.3575
2006-04-01,105965.8109
2006-07-01,106614.1873
2006-10-01,106999.3389
2007-01-01,107978.0234
2007-04-01,108253.6556
2007-07-01,108987.5274
2007-10-01,110679.4334
2008-01-01,110633.7664
2008-04-01,109278.6228
2008-07-01,108838.3921
2008-10-01,108586.4588
2009-01-01,108944.7146
2009-04-01,108863.1005
2009-07-01,109788.7089
2009-10-01,111090.6761
2010-01-01,111826.9985
2010-04-01,111902.7216
2010-07-01,111619.3025
2010-10-01,111673.7757
2011-01-01,111090.024
2011-04-01,111460.5899
2011-07-01,111201.4959
2011-10-01,110763.9076
2012-01-01,111511.082
2012-04-01,112087.755
2012-07-01,112521.1171
2012-10-01,112787.5094
2013-01-01,114248.3575
2013-04-01,115143.6605
2013-07-01,115979.0125
2013-10-01,115889.3436
2014-01-01,115114.2231
2014-04-01,118062.0346
2014-07-01,116678.4282
2014-10-01,115562.3362
2015-01-01,115251.4372
2015-04-01,114636.3619
2015-07-01,113172.9608
2015-10-01,113886.9782
2016-01-01,113552.867
2016-04-01,113382.36
2016-07-01,113341.966
2016-10-01,112688.4199
2017-01-01,113199.311
2017-04-01,113180.8797
2017-07-01,114622.1842
2017-10-01,116228.2794
2018-01-01,115513.175
2018-04-01,115469.4596
2018-07-01,114339.1109
2018-10-01,114312.4079
2019-01-01,114102.303
2019-04-01,115144.0706
2019-07-01,116283.1187
2019-10-01,114695.55
2020-01-01,115748.3237
2020-04-01,114866.4838
2020-07-01,114556.1238
