time,value
1991-07-01,6278.50873267558
1991-10-01,6276.57713861181
1992-01-01,6467.36158721756
1992-04-01,6296.05772133142
1992-07-01,5526.413798345
1992-10-01,5290.8346450308
1993-01-01,5301.92418828578
1993-04-01,5330.21766729956
1993-07-01,5125.90208833098
1993-10-01,5214.11628519619
1994-01-01,5037.72178503825
1994-04-01,5216.40338896153
1994-07-01,5558.34238826477
1994-10-01,5912.8117487406
1995-01-01,6266.03872638467
1995-04-01,5349.41433343893
1995-07-01,6833.19242851984
1995-10-01,5963.96877073998
1996-01-01,5158.99298721323
1996-04-01,5885.19454844534
1996-07-01,6146.20745905855
1996-10-01,6040.55885785939
1997-01-01,6020.85428534528
1997-04-01,5737.36247649916
1997-07-01,5704.16295928069
1997-10-01,5918.9648322073
1998-01-01,6743.9923009038
1998-04-01,6292.76569796849
1998-07-01,8555.92141594362
1998-10-01,7555.94210316735
1999-01-01,8657.2801143415
1999-04-01,9912.17573201735
1999-07-01,10300.7468954763
1999-10-01,10601.8090878775
2000-01-01,10505.8450826686
2000-04-01,10993.2015417005
2000-07-01,9201.38004390795
2000-10-01,10914.869133008
2001-01-01,9662.20210100462
2001-04-01,8864.48011934851
2001-07-01,9177.388349248
2001-10-01,9584.62504297482
2002-01-01,9951.19290775281
2002-04-01,8698.79533228893
2002-07-01,9415.66673175366
2002-10-01,9156.56956748423
2003-01-01,9605.94244758157
2003-04-01,10038.2596565405
2003-07-01,9614.64351961676
2003-10-01,9538.94461625854
2004-01-01,9422.71117204951
2004-04-01,10620.4514598466
2004-07-01,10101.1144308634
2004-10-01,10051.6565031745
2005-01-01,10097.0048642759
2005-04-01,10710.9245890101
2005-07-01,10749.921061148
2005-10-01,11004.5121865204
2006-01-01,11512.0170634375
2006-04-01,10628.4893157692
2006-07-01,10392.8559350396
2006-10-01,11172.6842054416
2007-01-01,11162.2086993006
2007-04-01,11579.2862401685
2007-07-01,11041.6190109537
2007-10-01,10508.4284644032
2008-01-01,10439.77221141
2008-04-01,10334.3913756469
2008-07-01,11671.4456696334
2008-10-01,10907.0275061431
2009-01-01,10528.6516436461
2009-04-01,10520.8312803196
2009-07-01,11291.4453665578
2009-10-01,11226.3393124342
2010-01-01,11598.2244369459
2010-04-01,11610.117395915
2010-07-01,11591.4045064106
2010-10-01,11335.2472011259
2011-01-01,12085.2548175606
2011-04-01,11245.9957064428
2011-07-01,11345.8336757632
2011-10-01,11497.0182460291
2012-01-01,11967.7134367358
2012-04-01,12764.3584257707
2012-07-01,12984.060628591
2012-10-01,13251.7841846081
2013-01-01,12637.6320037895
2013-04-01,12549.6685048602
2013-07-01,12045.2987411482
2013-10-01,12100.0961010232
2014-01-01,11892.0150965475
2014-04-01,12532.1372654521
2014-07-01,12811.3002990826
2014-10-01,11818.3613278623
2015-01-01,12433.4242505755
2015-04-01,12627.9945916402
2015-07-01,12347.4363574005
2015-10-01,13730.5291056591
2016-01-01,13159.105200512
2016-04-01,12673.5930573007
2016-07-01,13407.5297331079
2016-10-01,14416.5855088635
2017-01-01,14593.6589110356
2017-04-01,13630.3231556336
2017-07-01,14886.7323730325
2017-10-01,14733.7663469912
2018-01-01,14693.4639340421
2018-04-01,15308.5552360699
2018-07-01,14093.8742012698
2018-10-01,14425.4657126976
2019-01-01,16106.887799405
2019-04-01,16080.4498009115
2019-07-01,15690.3337081706
2019-10-01,14885.6164782792
2020-01-01,13305.2794753037
2020-04-01,12652.1164653444
2020-07-01,12426.7903871134
2020-10-01,12109.914428142
2021-01-01,11123.1025696925
2021-04-01,11624.7419596782
2021-07-01,12094.85172964
