time,value
1991-07-01,18022.5206049108
1991-10-01,17875.2797968468
1992-01-01,17717.5295598959
1992-04-01,17597.1660682901
1992-07-01,16828.713876278
1992-10-01,16261.8416649126
1993-01-01,16293.3191368326
1993-04-01,16400.4014410754
1993-07-01,16457.6549168986
1993-10-01,16381.1722601672
1994-01-01,15920.1792529899
1994-04-01,15805.8073496967
1994-07-01,15708.9701870444
1994-10-01,15987.8386982914
1995-01-01,15914.6701454149
1995-04-01,15733.9838723285
1995-07-01,15945.3743354673
1995-10-01,15880.4421397566
1996-01-01,16025.7453181795
1996-04-01,16089.5636019328
1996-07-01,16039.11247235
1996-10-01,16091.8613995219
1997-01-01,16232.9772809086
1997-04-01,16434.1831882719
1997-07-01,16945.4167614053
1997-10-01,16339.0158747715
1998-01-01,17110.6704064981
1998-04-01,17012.681494442
1998-07-01,16959.9775907193
1998-10-01,17072.3537064029
1999-01-01,16927.1415486083
1999-04-01,17623.104310955
1999-07-01,17503.4470897776
1999-10-01,17663.206088673
2000-01-01,17592.5594013193
2000-04-01,17622.3582297343
2000-07-01,18144.8640211066
2000-10-01,18008.0476897715
2001-01-01,18140.4566615799
2001-04-01,17590.9106185406
2001-07-01,17771.4291846468
2001-10-01,17895.8529809097
2002-01-01,17770.0843510283
2002-04-01,17744.6686756574
2002-07-01,17187.2952828278
2002-10-01,16793.4870711635
2003-01-01,17249.3357259266
2003-04-01,17384.6810848488
2003-07-01,17300.9498776049
2003-10-01,17792.3240622514
2004-01-01,17483.66113186
2004-04-01,17663.8637213424
2004-07-01,17520.231417491
2004-10-01,17641.8449535019
2005-01-01,17695.7458977012
2005-04-01,17508.9978094137
2005-07-01,17658.9454982859
2005-10-01,17699.8953884363
2006-01-01,17623.5159694933
2006-04-01,17880.4565497839
2006-07-01,18077.9911649581
2006-10-01,18133.4896741949
2007-01-01,18269.4537806224
2007-04-01,18017.0845884752
2007-07-01,18119.6407748789
2007-10-01,17927.1859844686
2008-01-01,18089.5992903826
2008-04-01,17981.0457313308
2008-07-01,17919.8547325054
2008-10-01,17609.7751229797
2009-01-01,17588.7590889631
2009-04-01,17674.7839573519
2009-07-01,17331.932817463
2009-10-01,17299.3690929601
2010-01-01,16978.3165847031
2010-04-01,16967.4870817019
2010-07-01,16982.6775025379
2010-10-01,16816.1834047907
2011-01-01,16226.41852767
2011-04-01,16286.6500287942
2011-07-01,16267.4127467704
2011-10-01,16431.7714960962
2012-01-01,16436.1566266473
2012-04-01,16514.6008218888
2012-07-01,16994.5282755385
2012-10-01,16726.2238373645
2013-01-01,16914.0944623884
2013-04-01,16905.3882035874
2013-07-01,16843.409899807
2013-10-01,17289.3034221735
2014-01-01,17549.4019070505
2014-04-01,17857.3259548239
2014-07-01,18152.6763758381
2014-10-01,17837.7919591639
2015-01-01,17840.1481675722
2015-04-01,17388.173947918
2015-07-01,17269.0674859078
2015-10-01,17495.5758094397
2016-01-01,17340.2648746564
2016-04-01,17484.9095334703
2016-07-01,17151.6515433616
2016-10-01,17454.8263717182
2017-01-01,17650.3234416754
2017-04-01,17637.4176826587
2017-07-01,17254.7016239154
2017-10-01,17145.5925345201
2018-01-01,17289.7051759526
2018-04-01,17178.8193849576
2018-07-01,17377.803982115
2018-10-01,17493.7393691066
2019-01-01,16955.4706689299
2019-04-01,17090.3045177393
2019-07-01,17015.5159822006
2019-10-01,16788.3881201019
2020-01-01,17447.498623992
2020-04-01,17602.704240632
2020-07-01,17856.3364420832
2020-10-01,17666.6324148748
2021-01-01,18770.6081732607
2021-04-01,18640.399369768
2021-07-01,19157.4368494706
2021-10-01,18838.454348867
2022-01-01,18428.4559523448
2022-04-01,18964.161551608
2022-07-01,19282.3712194154
2022-10-01,19660.3714674054
2023-01-01,19813.9391752086
2023-04-01,20050.1117075304
2023-07-01,19435.3027393773
2023-10-01,20337.8743841108
2024-01-01,20122.8781313461
2024-04-01,19863.3372631238
2024-07-01,19695.6614250204
