time,value
1991-07-01,88276.1492717196
1991-10-01,88797.3415002983
1992-01-01,89605.9733729686
1992-04-01,90602.0486063349
1992-07-01,89033.8997364907
1992-10-01,89226.7803048691
1993-01-01,89809.0073367633
1993-04-01,91171.9755355931
1993-07-01,91439.4046153317
1993-10-01,91847.046849112
1994-01-01,92395.0899750985
1994-04-01,92739.9130273149
1994-07-01,94991.4811596301
1994-10-01,95364.7955480325
1995-01-01,95732.1131155755
1995-04-01,95867.5440584124
1995-07-01,96835.7741848129
1995-10-01,97947.1367994581
1996-01-01,98584.3950900748
1996-04-01,99063.0709259254
1996-07-01,100398.438573883
1996-10-01,101668.885875826
1997-01-01,102645.530997512
1997-04-01,103146.825699302
1997-07-01,103535.394553768
1997-10-01,103689.527357462
1998-01-01,105004.643334887
1998-04-01,106281.741369387
1998-07-01,106897.656321211
1998-10-01,108249.856722169
1999-01-01,109248.039809076
1999-04-01,111807.045694819
1999-07-01,113531.407156737
1999-10-01,115598.003793687
2000-01-01,118239.17746265
2000-04-01,120403.513018774
2000-07-01,122180.860065021
2000-10-01,122796.240002469
2001-01-01,125861.157577209
2001-04-01,123274.960869564
2001-07-01,123975.881055453
2001-10-01,125133.304294414
2002-01-01,126007.53985541
2002-04-01,127153.272612837
2002-07-01,128452.782206138
2002-10-01,129264.290425822
2003-01-01,130605.455127314
2003-04-01,131770.558347925
2003-07-01,133752.492129903
2003-10-01,134696.518449707
2004-01-01,133999.859380087
2004-04-01,136433.295032484
2004-07-01,137246.914082138
2004-10-01,137532.452374195
2005-01-01,138994.659194358
2005-04-01,139465.914760294
2005-07-01,140540.110732228
2005-10-01,141258.826915555
2006-01-01,141628.836716172
2006-04-01,142309.292913272
2006-07-01,143187.247181945
2006-10-01,144293.083489264
2007-01-01,144863.170335278
2007-04-01,146249.045074883
2007-07-01,146975.325514753
2007-10-01,148605.60529124
2008-01-01,150406.660564538
2008-04-01,152404.122804814
2008-07-01,153661.442009808
2008-10-01,154377.173246585
2009-01-01,155323.742226962
2009-04-01,155559.429172667
2009-07-01,156389.554659839
2009-10-01,157510.975636911
2010-01-01,158952.605697664
2010-04-01,159307.64193184
2010-07-01,159715.830789602
2010-10-01,160089.818300886
2011-01-01,159222.210184894
2011-04-01,159658.792903674
2011-07-01,161840.13995434
2011-10-01,162454.981852228
2012-01-01,165914.731643443
2012-04-01,168556.803171983
2012-07-01,169900.570419347
2012-10-01,170968.151915554
2013-01-01,172550.988763438
2013-04-01,174294.542187996
2013-07-01,174668.589221192
2013-10-01,175386.639994538
2014-01-01,175998.696065858
2014-04-01,177015.53628002
2014-07-01,178391.494911838
2014-10-01,180243.855050922
2015-01-01,180969.647297585
2015-04-01,181987.033425125
2015-07-01,184096.210243999
2015-10-01,184370.149064092
2016-01-01,186164.854162225
2016-04-01,186691.915051126
2016-07-01,188614.157494833
2016-10-01,190748.531785779
2017-01-01,190965.508484302
2017-04-01,192451.138121698
2017-07-01,194107.020696583
2017-10-01,195551.838485966
2018-01-01,196072.390144995
2018-04-01,195855.755038979
2018-07-01,196059.253665874
2018-10-01,196419.294194876
2019-01-01,198042.734311696
2019-04-01,199128.995861799
2019-07-01,198480.932552515
2019-10-01,198891.831017298
2020-01-01,200729.879778605
2020-04-01,202799.281601276
2020-07-01,203831.330259872
2020-10-01,204208.401712478
2021-01-01,202175.70649092
2021-04-01,201822.572141837
2021-07-01,202606.346268108
2021-10-01,202644.588806762
2022-01-01,203968.177473528
2022-04-01,204480.772571057
2022-07-01,204641.548066967
2022-10-01,205909.915677252
2023-01-01,207431.071325682
2023-04-01,208511.521446379
2023-07-01,210043.373408994
2023-10-01,211955.65097856
2024-01-01,212104.630096441
2024-04-01,213158.734205383
